code,packaging_en,product_name,origins,manufacturing_places,environmental_score_grade,image_url,brands,categories
1200,,солоницас лаврушкой,,,unknown,https://images.openfoodfacts.org/images/products/000/000/000/1200/front_en.6.400.jpg,ивушка,
120000555,,AA Unbarnded Urad Dal Gota,,,,https://images.openfoodfacts.org/images/products/000/012/000/0555/front_en.3.400.jpg,,
120000564,,AA Unbranded Rajma Chitra-200g,,,,https://images.openfoodfacts.org/images/products/000/012/000/0564/front_en.3.400.jpg,AA Unbranded,Rajma
120000845,,Aa Royal Suger Powder-250g,,,,https://images.openfoodfacts.org/images/products/000/012/000/0845/front_en.3.400.jpg,,
120001035,,Filet poulet tex-mex,,,,,,
120017176,,,,,,,,
120090550,,Crème de vinaigre saveur truffe,,,,,Melodie,
120102022,,petit jas,,,unknown,,Domaine St jean le vieux,
120150197,,"Sparkling Soda, Cherry, Lemon Lime",,,,,Mist Twst,
120157653,,Protein Milk,,,unknown,,Lactaid,
1202,fr:sachet-plastique,,,"Kelaniya, Sri Lanka",b,https://images.openfoodfacts.org/images/products/000/000/000/1202/front_fr.6.400.jpg,fanny,"Snacks, Snacks sucrés, Biscuits et gâteaux, Pâtisseries, Rochers à la noix de coco"
1203,,,,,,https://images.openfoodfacts.org/images/products/000/000/000/1203/front_en.5.400.jpg,,lotion
1204,,Organic Molasses,,,,,Buffalo Molasses,
120497216,,Organix Kids mandarin & Apple,,,,https://images.openfoodfacts.org/images/products/000/012/049/7216/front_ro.5.400.jpg,,
1205,,Hackfleisch,,,unknown,,Gut und Günstig,
120644412,,Star pasta,,,,https://images.openfoodfacts.org/images/products/000/012/064/4412/front_en.3.400.jpg,Sainsbury’s,
1207,,Pinto Bean,,,,,Central Bean,
120739013,,Pringles,,,,,,
120810084,,Kombucha,,,d,https://images.openfoodfacts.org/images/products/000/012/081/0084/front_fr.3.400.jpg,,"Boissons, Produits fermentés, Boissons fermentées, Boissons au thé, Kombuchas"
120876131,,EPA Frankreich,,,unknown,,,
